Store ID,Product ID,Date,Units Sold,Sales Revenue (USD),Discount Percentage,Marketing Spend (USD),Store Location,Product Category,Day of the Week,Holiday Effect
Spearsland,52372247,2022-01-01,9,2741.69,20,81,Tanzania,Furniture,Saturday,False
Spearsland,52372247,2022-01-02,7,2665.53,0,0,Mauritania,Furniture,Sunday,False
Spearsland,52372247,2022-01-03,1,380.79,0,0,Saint Pierre and Miquelon,Furniture,Monday,False
Spearsland,52372247,2022-01-04,4,1523.16,0,0,Australia,Furniture,Tuesday,False
Spearsland,52372247,2022-01-05,2,761.58,0,0,Swaziland,Furniture,Wednesday,False
Spearsland,52372247,2022-01-06,8,3046.32,0,41,Bhutan,Furniture,Thursday,False
Spearsland,52372247,2022-01-07,6,2284.74,0,0,Suriname,Furniture,Friday,False
Spearsland,52372247,2022-01-08,9,3427.11,0,83,Taiwan,Furniture,Saturday,False
Spearsland,52372247,2022-01-09,7,2665.53,0,0,Papua New Guinea,Furniture,Sunday,False
Spearsland,52372247,2022-01-10,1,380.79,0,164,Canada,Furniture,Monday,False
Spearsland,52372247,2022-01-11,4,1523.16,0,61,Vietnam,Furniture,Tuesday,False
Spearsland,52372247,2022-01-12,6,2284.74,0,0,Cocos (Keeling) Islands,Furniture,Wednesday,False
Spearsland,52372247,2022-01-13,3,971.01,15,197,Lebanon,Furniture,Thursday,False
Spearsland,52372247,2022-01-14,6,2284.74,0,0,Luxembourg,Furniture,Friday,False
Spearsland,52372247,2022-01-15,3,971.01,15,163,French Guiana,Furniture,Saturday,False
Spearsland,52372247,2022-01-16,2,761.58,0,160,Paraguay,Furniture,Sunday,False
Spearsland,52372247,2022-01-17,8,3046.32,0,0,Nauru,Furniture,Monday,False
Spearsland,52372247,2022-01-18,6,2284.74,0,0,Italy,Furniture,Tuesday,False
Spearsland,52372247,2022-01-19,13,4950.27,0,188,Saint Helena,Furniture,Wednesday,False
Spearsland,52372247,2022-01-20,5,1903.95,0,0,Portugal,Furniture,Thursday,False
Spearsland,52372247,2022-01-21,3,913.9,20,7,French Southern Territories,Furniture,Friday,False
Spearsland,52372247,2022-01-22,9,3427.11,0,171,Colombia,Furniture,Saturday,False
Spearsland,52372247,2022-01-23,5,1903.95,0,180,Switzerland,Furniture,Sunday,False
Spearsland,52372247,2022-01-24,4,1370.84,10,24,Mali,Furniture,Monday,False
Spearsland,52372247,2022-01-25,4,1523.16,0,126,Reunion,Furniture,Tuesday,False
Spearsland,52372247,2022-01-26,12,4569.48,0,0,Romania,Furniture,Wednesday,False
Spearsland,52372247,2022-01-27,6,2284.74,0,152,Dominican Republic,Furniture,Thursday,False
Spearsland,52372247,2022-01-28,5,1903.95,0,0,Switzerland,Furniture,Friday,False
Spearsland,52372247,2022-01-29,7,2665.53,0,0,Sweden,Furniture,Saturday,False
Spearsland,52372247,2022-01-30,5,1903.95,0,57,Kiribati,Furniture,Sunday,False
Spearsland,52372247,2022-01-31,1,380.79,0,0,Antigua and Barbuda,Furniture,Monday,False
Spearsland,52372247,2022-02-01,4,1523.16,0,0,Czech Republic,Furniture,Tuesday,False
Spearsland,52372247,2022-02-02,7,2665.53,0,0,Mauritius,Furniture,Wednesday,False
Spearsland,52372247,2022-02-03,1,380.79,0,189,Congo,Furniture,Thursday,False
Spearsland,52372247,2022-02-04,5,1903.95,0,9,Bouvet Island (Bouvetoya),Furniture,Friday,False
Spearsland,52372247,2022-02-05,3,1142.37,0,0,Hong Kong,Furniture,Saturday,False
Spearsland,52372247,2022-02-06,13,4950.27,0,0,Hong Kong,Furniture,Sunday,False
Spearsland,52372247,2022-02-07,5,1903.95,0,34,Slovenia,Furniture,Monday,False
Spearsland,52372247,2022-02-08,5,1903.95,0,0,Antarctica (the territory South of 60 deg S),Furniture,Tuesday,False
Spearsland,52372247,2022-02-09,3,1142.37,0,0,Trinidad and Tobago,Furniture,Wednesday,False
Spearsland,52372247,2022-02-10,5,1903.95,0,0,Oman,Furniture,Thursday,False
Spearsland,52372247,2022-02-11,5,1903.95,0,85,Lithuania,Furniture,Friday,False
Spearsland,52372247,2022-02-12,2,761.58,0,0,Tokelau,Furniture,Saturday,False
Spearsland,52372247,2022-02-13,6,1942.03,15,122,Northern Mariana Islands,Furniture,Sunday,False
Spearsland,52372247,2022-02-14,7,2665.53,0,0,Antigua and Barbuda,Furniture,Monday,False
Spearsland,52372247,2022-02-15,11,4188.69,0,135,Sierra Leone,Furniture,Tuesday,False
Spearsland,52372247,2022-02-16,7,2665.53,0,0,Libyan Arab Jamahiriya,Furniture,Wednesday,False
Spearsland,52372247,2022-02-17,4,1523.16,0,199,Cocos (Keeling) Islands,Furniture,Thursday,False
Spearsland,52372247,2022-02-18,6,2284.74,0,133,Jersey,Furniture,Friday,False
Spearsland,52372247,2022-02-19,5,1903.95,0,0,Saudi Arabia,Furniture,Saturday,False
Spearsland,52372247,2022-02-20,3,1142.37,0,0,United States of America,Furniture,Sunday,False
Spearsland,52372247,2022-02-21,3,1142.37,0,0,Germany,Furniture,Monday,False
Spearsland,52372247,2022-02-22,5,1903.95,0,40,Sierra Leone,Furniture,Tuesday,False
Spearsland,52372247,2022-02-23,2,609.26,20,0,Nauru,Furniture,Wednesday,False
Spearsland,52372247,2022-02-24,11,4188.69,0,0,Lithuania,Furniture,Thursday,False
Spearsland,52372247,2022-02-25,7,2665.53,0,54,Saint Barthelemy,Furniture,Friday,False
Spearsland,52372247,2022-02-26,13,4950.27,0,0,Montenegro,Furniture,Saturday,False
Spearsland,52372247,2022-02-27,5,1903.95,0,0,Tanzania,Furniture,Sunday,False
Spearsland,52372247,2022-02-28,7,2132.42,20,0,Tuvalu,Furniture,Monday,False
Spearsland,52372247,2022-03-01,3,1142.37,0,0,Micronesia,Furniture,Tuesday,False
Spearsland,52372247,2022-03-02,7,2665.53,0,0,Netherlands,Furniture,Wednesday,False
Spearsland,52372247,2022-03-03,6,2284.74,0,0,Swaziland,Furniture,Thursday,False
Spearsland,52372247,2022-03-04,2,685.42,10,7,Mexico,Furniture,Friday,False
Spearsland,52372247,2022-03-05,9,3427.11,0,169,Kiribati,Furniture,Saturday,False
Spearsland,52372247,2022-03-06,2,761.58,0,33,Puerto Rico,Furniture,Sunday,False
Spearsland,52372247,2022-03-07,3,1142.37,0,0,Lebanon,Furniture,Monday,False
Spearsland,52372247,2022-03-08,3,1142.37,0,98,Palestinian Territory,Furniture,Tuesday,False
Spearsland,52372247,2022-03-09,4,1523.16,0,108,Slovenia,Furniture,Wednesday,False
Spearsland,52372247,2022-03-10,2,761.58,0,0,Tokelau,Furniture,Thursday,False
Spearsland,52372247,2022-03-11,4,1218.53,20,38,Haiti,Furniture,Friday,False
Spearsland,52372247,2022-03-12,3,1142.37,0,0,Sri Lanka,Furniture,Saturday,False
Spearsland,52372247,2022-03-13,7,2665.53,0,168,Tanzania,Furniture,Sunday,False
Spearsland,52372247,2022-03-14,7,2265.7,15,0,French Polynesia,Furniture,Monday,False
Spearsland,52372247,2022-03-15,2,761.58,0,30,Isle of Man,Furniture,Tuesday,False
Spearsland,52372247,2022-03-16,7,2398.98,10,0,Reunion,Furniture,Wednesday,False
Spearsland,52372247,2022-03-17,7,2665.53,0,0,Christmas Island,Furniture,Thursday,False
Spearsland,52372247,2022-03-18,6,2284.74,0,4,Martinique,Furniture,Friday,False
Spearsland,52372247,2022-03-19,5,1903.95,0,0,Kyrgyz Republic,Furniture,Saturday,False
Spearsland,52372247,2022-03-20,9,3427.11,0,0,Saudi Arabia,Furniture,Sunday,False
Spearsland,52372247,2022-03-21,3,1142.37,0,104,Thailand,Furniture,Monday,False
Spearsland,52372247,2022-03-22,7,2665.53,0,0,Seychelles,Furniture,Tuesday,False
Spearsland,52372247,2022-03-23,8,3046.32,0,103,Algeria,Furniture,Wednesday,False
Spearsland,52372247,2022-03-24,5,1903.95,0,0,Botswana,Furniture,Thursday,False
Spearsland,52372247,2022-03-25,5,1903.95,0,85,Jamaica,Furniture,Friday,False
Spearsland,52372247,2022-03-26,6,2284.74,0,0,Slovakia (Slovak Republic),Furniture,Saturday,False
Spearsland,52372247,2022-03-27,6,2284.74,0,0,Anguilla,Furniture,Sunday,False
Spearsland,52372247,2022-03-28,7,2665.53,0,0,El Salvador,Furniture,Monday,False
Spearsland,52372247,2022-03-29,2,761.58,0,0,Macao,Furniture,Tuesday,False
Spearsland,52372247,2022-03-30,3,1142.37,0,0,Colombia,Furniture,Wednesday,False
Spearsland,52372247,2022-03-31,2,761.58,0,0,Congo,Furniture,Thursday,False
Spearsland,52372247,2022-04-01,4,1523.16,0,0,Faroe Islands,Furniture,Friday,False
Spearsland,52372247,2022-04-02,4,1523.16,0,0,Mauritius,Furniture,Saturday,False
Spearsland,52372247,2022-04-03,0,0.0,0,24,Saint Barthelemy,Furniture,Sunday,False
Spearsland,52372247,2022-04-04,7,2665.53,0,24,North Macedonia,Furniture,Monday,False
Spearsland,52372247,2022-04-05,7,2665.53,0,83,Nigeria,Furniture,Tuesday,False
Spearsland,52372247,2022-04-06,6,2284.74,0,178,Korea,Furniture,Wednesday,False
Spearsland,52372247,2022-04-07,4,1523.16,0,0,Zimbabwe,Furniture,Thursday,False
Spearsland,52372247,2022-04-08,4,1523.16,0,0,American Samoa,Furniture,Friday,False
Spearsland,52372247,2022-04-09,7,2665.53,0,86,Saint Vincent and the Grenadines,Furniture,Saturday,False
Spearsland,52372247,2022-04-10,10,3807.9,0,66,Estonia,Furniture,Sunday,False
Spearsland,52372247,2022-04-11,13,4702.76,5,150,Suriname,Furniture,Monday,False
Spearsland,52372247,2022-04-12,9,3427.11,0,19,Poland,Furniture,Tuesday,False
Spearsland,52372247,2022-04-13,8,3046.32,0,127,French Guiana,Furniture,Wednesday,False
